id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BIRTHDAYS,0.032780983,0.034065425,0.034729056,0.035420895,0.03353538,0.033530228,0.034811556,0.032944918,0.034823425,0.034383412,0.03346892,0.033838157,0.036232844,0.034722384,0.03452237,0.03542412
GRADUATIONS,0.026593743,0.02870588,0.026739791,0.026809197,0.026648168,0.026039165,0.027975645,0.025263572,0.026718037,0.027640376,0.028743546,0.027332123,0.02789645,0.02812381,0.026376545,0.027460828
BIRTHS,0.033054303,0.032333285,0.034521267,0.034889586,0.034877785,0.032786928,0.03492112,0.031707395,0.032775618,0.035688743,0.034302022,0.035447977,0.03448558,0.03478781,0.03326462,0.035166446
DEATHS,0.022219984,0.0220319,0.023528919,0.023272322,0.021978103,0.022545781,0.02285127,0.021860275,0.021822436,0.023118496,0.023709137,0.02204668,0.023005188,0.023545517,0.023822395,0.021812182
BREAK-UPS,0.037696652,0.03912151,0.037379585,0.039454207,0.037413783,0.037763998,0.03772333,0.036177095,0.038041305,0.04036612,0.040619694,0.039203107,0.038988553,0.04046315,0.038727947,0.037972216
HOT DOUG'S,0.017958798,0.018048942,0.017924339,0.0170516,0.017334627,0.01785996,0.017920204,0.017134894,0.01835131,0.018178066,0.017743878,0.018130694,0.017579172,0.018553559,0.017962005,0.017502427
DINING AS PERFORMANCE ART,0.018593173,0.017118987,0.018063743,0.019441213,0.017161876,0.016591344,0.018727839,0.017047191,0.017802222,0.01833549,0.01808333,0.018595608,0.018573776,0.019192066,0.018304372,0.01735825
VIP TREATMENT,0.018733744,0.01727255,0.018618971,0.01938703,0.017717341,0.017087173,0.019010788,0.017639093,0.017471742,0.018368976,0.019234333,0.018032277,0.018164018,0.018520258,0.01723258,0.017431151
UNMARKED DOOR,0.022643374,0.023368236,0.023553532,0.0237437,0.023682894,0.02268224,0.023776306,0.023382146,0.02370124,0.023703974,0.023724109,0.023639094,0.023888357,0.02387341,0.024162665,0.023233645
TABLE NEXT TO US,0.03271485,0.034391016,0.033608377,0.035110343,0.032565475,0.032117844,0.032075696,0.031451523,0.03277712,0.033854395,0.033907674,0.032978356,0.033879537,0.03394379,0.033380315,0.03264121
FANTASTIC TIME,0.01767169,0.01824009,0.017966056,0.018975161,0.017288897,0.01735404,0.017522749,0.016511383,0.01800523,0.017960897,0.017361285,0.017454136,0.01906827,0.0181989,0.017683672,0.016933026
THEATRICALITY,0.00841651,0.0089909565,0.008543165,0.008479371,0.008685999,0.008666952,0.0084031075,0.008277413,0.008365923,0.00790636,0.0086516235,0.00819784,0.008411696,0.008524563,0.008461874,0.0081151705
COMFORTABLENESS,0.007084242,0.007980576,0.0077538695,0.008049889,0.007821558,0.007763383,0.0073909247,0.0072911857,0.0071544414,0.007554152,0.0077125793,0.007310488,0.007903196,0.0082676755,0.008102165,0.007962966
SURPRISES,0.004267998,0.004369286,0.0042934744,0.004306795,0.0038155986,0.004398866,0.0040145605,0.004178393,0.0042575905,0.0041475203,0.0041885697,0.0039136126,0.0041999654,0.0039595338,0.00413052,0.003977885
FOODIES,0.025289929,0.024877816,0.025169823,0.025031906,0.024626372,0.0249579,0.02508677,0.02440998,0.025031965,0.024327554,0.024728218,0.024397813,0.025099508,0.025163956,0.025946595,0.024975084
CHAMPAGNE,0.03771844,0.037575778,0.036744893,0.038721688,0.037338406,0.03701859,0.03786385,0.036867194,0.0381855,0.03752157,0.03777403,0.038074866,0.038062125,0.036640696,0.03892201,0.036776505
GIRLS NIGHT OUT,0.0069702747,0.006673894,0.00727952,0.006914821,0.007293837,0.006791913,0.0074254875,0.0072611743,0.0070512625,0.006712316,0.0075250384,0.007258551,0.0069573373,0.0068709003,0.0072780815,0.006501361
RESTAURANTS,0.028548315,0.028357591,0.028668895,0.028270321,0.028225955,0.027635746,0.02833924,0.027939014,0.028671987,0.028005501,0.028240286,0.028819375,0.028986465,0.027838465,0.029035747,0.028516429
COURSES,0.024531204,0.024941735,0.02486643,0.02433626,0.024065662,0.02477028,0.025294773,0.024264641,0.024314392,0.024937477,0.024763687,0.02357335,0.023969641,0.024624147,0.024595242,0.024701277
PRICE TAG,0.0506294,0.05124705,0.051707547,0.0509125,0.048966557,0.05038626,0.051484376,0.048055373,0.049524404,0.051072985,0.050948136,0.04957701,0.050603226,0.050173983,0.051148213,0.05066129
FRIENDS,0.027958682,0.028024819,0.028231952,0.028035587,0.02783954,0.028309684,0.028721442,0.0278171,0.028730199,0.028285831,0.027915716,0.02788078,0.027840627,0.027565196,0.02880561,0.028270373
ACHATZ,0.05866626,0.06107883,0.061018556,0.061879557,0.059624773,0.060002953,0.061884347,0.059683677,0.059255652,0.059619922,0.059811246,0.060756885,0.061309468,0.06177357,0.061031193,0.06099067
CULINARY PARTY TRICKS,0.041237146,0.04293827,0.043309912,0.043175183,0.043399557,0.041009292,0.044195578,0.041128367,0.0422445,0.042353548,0.04257136,0.04277692,0.043772712,0.04328668,0.04280967,0.042112075
TECHNOLOGY,0.038077537,0.038261853,0.039078772,0.040228106,0.036813326,0.03803524,0.039865285,0.036772635,0.037952088,0.04034243,0.040145904,0.038732857,0.039415643,0.039121177,0.038625512,0.038324624
MICHELIN,0.077218875,0.07880534,0.0793384,0.07870985,0.0777456,0.076252185,0.082420275,0.07472478,0.07805833,0.07716274,0.079434,0.079919696,0.08011585,0.07943325,0.07984395,0.078573674
YELP!,0.091666244,0.09134003,0.09474455,0.09285702,0.090001225,0.091662906,0.093680784,0.087585814,0.09162417,0.09294869,0.09351534,0.09365408,0.093310736,0.09329416,0.0929533,0.09270891
SPAGO,0.031960808,0.033089988,0.03290011,0.03379421,0.03146418,0.031775214,0.03337743,0.030954067,0.03193192,0.034098133,0.034814723,0.032708146,0.03232558,0.033385336,0.033217512,0.034073167
THOMAS KELLER,0.06746933,0.068769485,0.06817819,0.06642318,0.06568033,0.06855965,0.06890926,0.065240934,0.06733209,0.068242274,0.06886722,0.06735982,0.06858348,0.067825675,0.06877166,0.066793114
THE FRENCH LAUNDRY,0.09152017,0.091013506,0.09245457,0.09337075,0.09093616,0.09112634,0.09492647,0.0884736,0.090149716,0.09257841,0.09345493,0.09152502,0.09493287,0.09282804,0.0938199,0.09214042
PER SE,0.06903422,0.07081017,0.070563465,0.071084976,0.06916444,0.06996677,0.070767954,0.06626378,0.069847696,0.070792325,0.070400186,0.07087921,0.07010962,0.07123534,0.07219562,0.07060623
CRACKED WHITE CHOCOLATE EGG,0.08545743,0.08688681,0.088215716,0.087912425,0.08557612,0.08569476,0.08888301,0.08285526,0.08565427,0.08582455,0.086662784,0.08886218,0.08790578,0.087106206,0.0880416,0.08670666
WOLFGANG PUCK,0.025553945,0.0266409,0.025456507,0.026596539,0.025262738,0.025572214,0.02644249,0.024603583,0.026165623,0.026646841,0.027958842,0.02717845,0.027022682,0.025815811,0.02717083,0.026620083
TICKET SYSTEM,0.092065774,0.09413673,0.09323809,0.09513672,0.091734335,0.092337504,0.09756859,0.08922362,0.09317343,0.093708746,0.09543075,0.094314985,0.09649697,0.09557346,0.0960114,0.091033906
